"","UD","prrD","SD","pop","DD","psrD","RD","trs_sos25","trs_sos50","trs_sos75","trs_eos90","trs_eos75","trs_eos50","trs_eos25","maxline","baseline","ampl_sos","ampl_eos","prr","psr","Gslope","Dslope","year","sitename","trs_sos25_mean.x","trs_sos25_mean.y","trs_sos50_mean"
"1",96,134,173,194,237,275,313,115,134,169,227,254,275,294,0.351160600829895,0.114765019017935,0.23639558181196,0.231237830452976,0.00308688906254771,-0.00299153125805878,0.00225481868098627,-0.00165638505322272,2000,"TLG",108,108,130
"2",101,136,172,208,228,270,312,117,136,154,231,250,270,296,0.348902548289886,0.114728504297105,0.230358998873956,0.234174043992781,0.00328173406360714,-0.0027617244847556,0.00191555816876971,-0.00224248197061624,2001,"TLG",108,108,130
"3",95,126,158,175,216,260,304,110,126,142,207,237,260,285,0.362141782640081,0.105893315987277,0.248720361291851,0.256248466652804,0.00401235772645089,-0.0028829088877571,0.00326171861253224,-0.00164800805247824,2002,"TLG",108,108,130
"4",93,130,167,173,225,269,313,107,130,148,207,237,269,292,0.367592011059163,0.107670603799574,0.25755497788898,0.25992140725959,0.00353596213207199,-0.00291614615993781,0.00346263759873627,-0.00139450114132484,2003,"TLG",108,108,130
"5",87,124,161,170,229,270,311,103,124,141,206,242,270,289,0.344688697533971,0.108678880137895,0.236009817396076,0.232137430797374,0.00326860935273148,-0.00280573799735227,0.00308992216228028,-0.00125045151616839,2004,"TLG",108,108,130
"6",98,132,165,187,220,270,321,112,132,148,209,229,270,293,0.358858693942145,0.104133120471529,0.243663228423377,0.254725573470616,0.00368447483087813,-0.00250648036853686,0.00283339793008156,-0.00168046769321329,2005,"TLG",108,108,130
"7",99,129,160,173,229,273,316,112,129,144,204,248,273,294,0.347933383378679,0.106780471874057,0.241152911504622,0.232017243083509,0.00404471730392635,-0.00265071900111149,0.00344883924055649,-0.0012560536762476,2006,"TLG",108,108,130
"8",96,130,164,185,216,267,318,109,130,145,207,230,267,287,0.376594648840624,0.109648845522958,0.259458711733734,0.266945803317666,0.00392470861175638,-0.00259563080639314,0.00288382599335674,-0.00175120977274609,2007,"TLG",108,108,130
"9",95,128,160,170,225,268,311,106,128,142,222,242,268,289,0.3647243738816,0.108966251342045,0.255758122539555,0.240441772601544,0.00401654714509676,-0.00273448862808016,0.00359433379271555,-0.00159714732474221,2008,"TLG",108,108,130
"10",100,126,152,174,203,257,312,111,126,137,195,221,257,285,0.422387900034201,0.12249487981495,0.297836418127304,0.29989302021925,0.00581360011957082,-0.00274373944633799,0.00387904533201757,-0.00181488326038587,2009,"TLG",108,108,130
"11",106,138,171,185,202,265,328,120,138,154,203,219,265,292,0.413658331557724,0.123553608987366,0.290104722570358,0.285466581791346,0.00449186106888027,-0.00224260923807508,0.00399097287603901,-0.00186994167630115,2010,"TLG",108,108,130
"12",103,136,168,195,220,270,319,120,136,153,214,242,270,298,0.37466492973534,0.110829202868624,0.237983359633761,0.263835726866717,0.00370273603902097,-0.00265175902577356,0.00265720476324744,-0.00192173148708502,2011,"TLG",108,108,130
"13",100,132,164,180,216,264,311,111,132,148,206,231,264,284,0.401862189624346,0.111480223815068,0.290381965809278,0.267972652922393,0.00463411930339323,-0.00279432802162839,0.00387371207958409,-0.00176746833913477,2012,"TLG",108,108,130
"14",92,126,160,182,218,264,309,110,126,144,218,237,264,287,0.387588970321951,0.128594216924893,0.258994753397059,0.255900443126322,0.00388851588588034,-0.00279054940112446,0.00307541068800666,-0.00199632294448752,2013,"TLG",108,108,130
"15",90,131,172,200,221,267,314,97,131,149,221,242,267,292,0.376608385551305,0.120836416671021,0.247758646931505,0.255771968880284,0.00305214170608736,-0.00271142294401339,0.00194298110092039,-0.00216762035183201,2014,"TLG",108,108,130
"16",86,127,169,182,220,266,311,104,127,146,216,236,266,288,0.369513546539505,0.124539085455788,0.244974461083717,0.243173202057155,0.00299418906248194,-0.00263703058294495,0.00285304907091094,-0.00180843696031401,2015,"TLG",108,108,130
"17",85,128,170,184,217,269,322,100,128,147,219,237,269,295,0.359246395173188,0.123502601578347,0.234035658038946,0.235743793594841,0.00278273052971974,-0.00223822398665967,0.00255134215942251,-0.00167811031971608,2016,"TLG",108,108,130
"18",85,132,178,186,217,268,318,101,132,155,216,240,268,291,0.396137727866483,0.1241062387646,0.272031489101883,0.264864445595252,0.00296610686372994,-0.00260751945448106,0.00285152043786638,-0.00195876455166932,2017,"TLG",108,108,130
"19",86,121,157,197,226,270,313,103,121,140,216,248,270,293,0.358570055497185,0.131812329589957,0.222343242133606,0.226757725907228,0.00317918647133578,-0.00258244350869767,0.0017594577008841,-0.00175240307062332,2018,"TLG",108,108,130
"20",86,128,170,180,220,267,314,103,128,149,220,239,267,292,0.400717814014134,0.133021777962526,0.267696036051608,0.261050298485868,0.00321978436692694,-0.00274206519893106,0.00307496662266419,-0.00192243316977256,2019,"TLG",108,108,130
"21",93,131,169,187,217,267,317,103,131,148,218,241,267,297,0.377908541158178,0.135843750097511,0.238750418508827,0.242064791060666,0.00318625963475226,-0.00239895978686311,0.00272058669164006,-0.00175005622856459,2020,"TLG",108,108,130
"22",87,126,165,187,214,265,316,103,126,144,212,232,265,291,0.417078203268592,0.134050920516601,0.28302728275199,0.278366649431799,0.00367742516673094,-0.00269887941351251,0.00290122931814542,-0.00203142144992779,2021,"TLG",108,108,130
"23",106,141,176,185,265,294,322,127,141,162,244,210,294,307,0.243821815597687,0.0781992183065324,0.148109719426176,0.165622597291154,0.00212716459839953,-0.00286249073946585,0.00192630539262456,-0.000705711580862107,2000,"CLS",105,105,130
"24",101,134,166,250,253,287,321,118,134,156,264,273,287,310,0.223449164969947,0.0743311768244142,0.149117988145532,0.148330557289701,0.0023127475987818,-0.00215788675889075,0.000662693648443359,-0.00217213102344932,2001,"CLS",105,105,130
"25",99,139,178,188,195,270,345,120,139,159,209,231,270,301,0.375068996098276,0.0544299397334242,0.300832198849413,0.320639056364852,0.00388855547947707,-0.0021269512672256,0.00380451881474175,-0.00216427590882419,2002,"CLS",105,105,130
"26",86,124,162,183,249,283,316,101,124,141,206,264,283,299,0.278485840386108,0.0773609998553059,0.201124840530802,0.193893725595641,0.00270860597359384,-0.00283363679952339,0.00217371564473972,-0.00113695753346931,2003,"CLS",105,105,130
"27",81,129,177,249,260,287,315,103,129,196,266,275,287,304,0.244850231618831,0.0734282553859535,0.160262438867181,0.171421976232877,0.00168501587096663,-0.00307961976753468,0.000656235601655087,-0.00276427816089295,2004,"CLS",105,105,130
"28",88,121,NA,154,258,296,333,90,121,135,217,278,296,323,0.226579450078876,0.0475620357676636,0.152441558319881,0.179017414311212,0.00233407009678223,-0.00234212485680731,0.00238775059564547,-0.000472614943410217,2005,"CLS",105,105,130
"29",89,129,168,220,248,294,341,91,129,147,241,267,294,318,0.233584826269459,0.0540871997955512,0.177324637384662,0.179497626473908,0.00228228238269255,-0.00190768523187585,0.000956906172856786,-0.0013147763101347,2006,"CLS",105,105,130
"30",72,143,NA,210,250,285,321,109,143,179,252,266,285,303,0.300844660590086,0.0691813700172705,0.231663290572815,0.216558950653916,0.00163992649153812,-0.0030228287432539,0.00188988929600893,-0.00197202937532244,2007,"CLS",105,105,130
"31",94,125,156,164,242,287,333,107,125,139,180,258,287,311,0.272623320979891,0.059926783663464,0.195891340836608,0.212696537316427,0.00320967890364117,-0.00231208882421305,0.00294753215849955,-0.000703113703113681,2008,"CLS",105,105,130
"32",44,111,NA,171,272,302,332,105,111,136,276,287,302,317,0.210144006690756,0.0482936198141636,0.161850386876592,0.150368849487089,0.0012095940062424,-0.00248480656938635,0.00147244724998698,-0.000527284351352934,2009,"CLS",105,105,130
"33",97,130,162,166,163,263,363,102,130,144,206,219,263,293,0.265182998209168,0.0518316072727513,0.213351390936417,0.180778480059428,0.00332233960667884,-0.000899453449259058,0.00324457373617486,-0.00102384708094802,2010,"CLS",105,105,130
