"","UD","prrD","SD","pop","DD","psrD","RD","trs_sos25","trs_sos50","trs_sos75","trs_eos90","trs_eos75","trs_eos50","trs_eos25","maxline","baseline","ampl_sos","ampl_eos","prr","psr","Gslope","Dslope","year","sitename","trs_sos25_mean.x","trs_sos25_mean.y","trs_sos50_mean"
"192",76,143,210,223,244,280,315,117,143,187,245,263,280,301,0.248087814583636,0.0687503880123167,0.177042709207717,0.179337426571319,0.00132343009729848,-0.00248801900369706,0.00120785341315594,-0.00192688602487348,2015,"SS",123,123,156
"193",101,151,202,235,243,279,314,126,151,185,251,262,279,298,0.289972223747831,0.0676441601301852,0.222328063617646,0.20227272354797,0.00221020121895645,-0.00281184913953667,0.00164775281078692,-0.00272656580252219,2016,"SS",123,123,156
"194",87,154,221,228,243,278,313,125,154,189,243,257,278,295,0.314207164881255,0.0773788639546382,0.236828300926617,0.232123925728595,0.00178201830601273,-0.00325418557742192,0.00171690202392228,-0.00268158998972878,2017,"SS",123,123,156
"195",68,138,208,226,239,274,308,114,138,184,244,257,274,292,0.302721685410032,0.0784020678318369,0.224319617578195,0.221149787812845,0.00161408101885945,-0.00317093907572724,0.0014442026262033,-0.00297753015569002,2018,"SS",123,123,156
"196",70,143,217,222,245,283,320,111,143,179,247,263,283,302,0.286755937339835,0.058106607244807,0.211224804791909,0.228649330095028,0.00144428060967187,-0.00302278559938396,0.00148410476871666,-0.00238835815245078,2019,"SS",123,123,156
"197",140,183,227,230,249,281,312,131,183,199,248,263,281,295,0.321483579091651,0.0738252499235136,0.247658329168137,0.229464026427781,0.00287406977086635,-0.00359255724347469,0.0028468898221801,-0.00280414179453714,2020,"SS",123,123,156
"198",97,133,169,181,244,284,325,116,133,153,222,249,284,300,0.269427104400663,0.0910451046014282,0.178381999799235,0.177141763031887,0.0025059763804319,-0.00217111552922156,0.00217817983296741,-0.00101261175441015,2021,"SS",123,123,156
"199",115,141,167,203,229,266,303,130,141,154,223,239,266,283,0.300995978830736,0.080484040953934,0.215891744486293,0.220511937876802,0.00426350060094021,-0.00294108326236121,0.00227506116001733,-0.00202005814245897,2000,"DQS",125,125,136
"200",109,130,152,156,209,256,304,121,130,140,168,206,256,275,0.224314376808236,0.0832263767035291,0.141088000104706,0.138262134956538,0.00340360473658788,-0.00144596085225346,0.00320677938845218,-0.000613084425099613,2001,"DQS",125,125,136
"201",119,146,174,206,208,255,301,136,146,164,218,229,255,276,0.362929540050391,0.0813183205511022,0.281611219499288,0.279457277135735,0.00524244395695339,-0.00295172477006145,0.00266834506107731,-0.00303669279193153,2002,"DQS",125,125,136
"202",113,138,164,183,232,272,311,128,138,151,231,247,272,289,0.380392999474386,0.079458514032067,0.300934485442319,0.291923279392061,0.00606103786960335,-0.00364071118045128,0.00475417420051141,-0.00228069260618949,2003,"DQS",125,125,136
"203",107,134,160,178,230,264,299,123,134,147,222,239,264,280,0.400346602798377,0.0851500280353993,0.312622326086059,0.315196574762978,0.00609835025579282,-0.00449107205834835,0.00476283810939737,-0.00235731327448668,2004,"DQS",125,125,136
"204",114,138,162,226,244,273,301,128,138,149,246,258,273,287,0.348587508413144,0.0889997530802075,0.259587755332936,0.257833313438928,0.00562075821396674,-0.0044369878652901,0.00130556422431227,-0.00364742323312233,2005,"DQS",125,125,136
"205",119,142,166,222,240,268,296,133,142,154,244,255,268,284,0.366361601670518,0.0854196711387061,0.277131624950328,0.280941930531812,0.00595590676218351,-0.00495170830313316,0.00178502508139787,-0.00406880018871007,2006,"DQS",125,125,136
