MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band6,0.0977,0.1309,0.8938,0.0332,0.1117,0.0001,0.0113,25,8,32.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band6,0.0977,0.1309,0.8939,0.0332,0.1117,0.0001,0.0113,25,8,32.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band6,0.0977,0.1597,1.1507,0.0620,0.1151,0.0003,0.0182,25,10,40.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band6,0.0976,0.1597,1.1462,0.0621,0.1146,0.0003,0.0182,25,10,40.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band6,0.0974,0.1596,1.0439,0.0622,0.1160,0.0003,0.0186,25,9,36.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band6,0.0931,0.1596,1.1359,0.0665,0.1136,0.0004,0.0189,25,10,40.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band6,0.0906,0.1597,1.2552,0.0691,0.1141,0.0003,0.0186,25,11,44.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band6,0.0837,0.1598,1.4245,0.0761,0.1096,0.0004,0.0198,25,13,52.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band6,0.0834,0.1598,1.4041,0.0764,0.1080,0.0004,0.0198,25,13,52.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band6,0.0832,0.1599,1.4110,0.0767,0.1085,0.0004,0.0199,25,13,52.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band6,0.0875,0.1599,1.3300,0.0724,0.1108,0.0004,0.0197,25,12,48.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band6,0.0862,0.1599,1.0691,0.0737,0.1069,0.0004,0.0208,25,10,40.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band6,0.0862,0.1599,1.0693,0.0737,0.1069,0.0004,0.0208,25,10,40.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band6,0.0862,0.1599,1.0696,0.0737,0.1070,0.0004,0.0208,25,10,40.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band6,0.0831,0.1155,0.7870,0.0324,0.0984,0.0001,0.0109,25,8,32.00
A2000070,2000-03-10,MCD43A4,Nadir_Reflectance_Band6,0.0831,0.1042,0.6628,0.0211,0.0947,0.0001,0.0075,25,7,28.00
A2000071,2000-03-11,MCD43A4,Nadir_Reflectance_Band6,0.0979,0.1012,0.1991,0.0033,0.0996,0.0000,0.0016,25,2,8.00
A2000072,2000-03-12,MCD43A4,Nadir_Reflectance_Band6,0.0979,0.1012,0.1991,0.0033,0.0996,0.0000,0.0016,25,2,8.00
A2000073,2000-03-13,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,25,0,0.00
A2000074,2000-03-14,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,25,0,0.00
A2000075,2000-03-15,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,25,0,0.00
A2000076,2000-03-16,MCD43A4,Nadir_Reflectance_Band6,,,,,,,,25,0,0.00
A2000077,2000-03-17,MCD43A4,Nadir_Reflectance_Band6,0.3333,0.3435,0.6768,0.0102,0.3384,0.0000,0.0051,25,2,8.00
A2000078,2000-03-18,MCD43A4,Nadir_Reflectance_Band6,0.3339,0.3444,0.6783,0.0105,0.3392,0.0000,0.0052,25,2,8.00
A2000079,2000-03-19,MCD43A4,Nadir_Reflectance_Band6,0.2744,0.3747,4.0431,0.1003,0.3110,0.0013,0.0358,25,13,52.00
A2000080,2000-03-20,MCD43A4,Nadir_Reflectance_Band6,0.2747,0.3752,4.0478,0.1005,0.3114,0.0013,0.0359,25,13,52.00
A2000081,2000-03-21,MCD43A4,Nadir_Reflectance_Band6,0.2750,0.3756,4.0522,0.1006,0.3117,0.0013,0.0360,25,13,52.00
A2000082,2000-03-22,MCD43A4,Nadir_Reflectance_Band6,0.2752,0.3760,4.0569,0.1008,0.3121,0.0013,0.0361,25,13,52.00
A2000083,2000-03-23,MCD43A4,Nadir_Reflectance_Band6,0.2755,0.3764,4.0612,0.1009,0.3124,0.0013,0.0361,25,13,52.00
A2000084,2000-03-24,MCD43A4,Nadir_Reflectance_Band6,0.2195,0.3917,5.4889,0.1722,0.3049,0.0025,0.0498,25,18,72.00
A2000085,2000-03-25,MCD43A4,Nadir_Reflectance_Band6,0.2206,0.3922,5.5205,0.1716,0.3067,0.0026,0.0512,25,18,72.00
A2000086,2000-03-26,MCD43A4,Nadir_Reflectance_Band6,0.2303,0.3928,5.5892,0.1625,0.3105,0.0022,0.0471,25,18,72.00
A2000087,2000-03-27,MCD43A4,Nadir_Reflectance_Band6,0.2325,0.3921,5.9088,0.1596,0.3110,0.0025,0.0501,25,19,76.00
A2000088,2000-03-28,MCD43A4,Nadir_Reflectance_Band6,0.2334,0.3931,5.9200,0.1597,0.3116,0.0025,0.0503,25,19,76.00
A2000089,2000-03-29,MCD43A4,Nadir_Reflectance_Band6,0.2300,0.3979,6.9711,0.1679,0.3169,0.0028,0.0531,25,22,88.00
