MODIS_Date_AYYYYDDD,date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2000055,2000-02-24,MCD43A4,Nadir_Reflectance_Band3,0.3531,0.6312,6.8634,0.2781,0.5280,0.0059,0.0767,25,13,52.00
A2000056,2000-02-25,MCD43A4,Nadir_Reflectance_Band3,0.3533,0.6314,6.8646,0.2781,0.5280,0.0059,0.0766,25,13,52.00
A2000057,2000-02-26,MCD43A4,Nadir_Reflectance_Band3,0.3534,0.6273,6.7934,0.2739,0.5226,0.0055,0.0744,25,13,52.00
A2000058,2000-02-27,MCD43A4,Nadir_Reflectance_Band3,0.2937,0.6261,7.1089,0.3324,0.5078,0.0091,0.0954,25,14,56.00
A2000059,2000-02-28,MCD43A4,Nadir_Reflectance_Band3,0.2937,0.6128,7.0911,0.3191,0.5065,0.0089,0.0944,25,14,56.00
A2000060,2000-02-29,MCD43A4,Nadir_Reflectance_Band3,0.2937,0.6129,7.0550,0.3192,0.5039,0.0089,0.0944,25,14,56.00
A2000061,2000-03-01,MCD43A4,Nadir_Reflectance_Band3,0.2937,0.6117,7.3155,0.3180,0.4877,0.0091,0.0953,25,15,60.00
A2000062,2000-03-02,MCD43A4,Nadir_Reflectance_Band3,0.2937,0.5993,7.1839,0.3056,0.4490,0.0086,0.0929,25,16,64.00
A2000063,2000-03-03,MCD43A4,Nadir_Reflectance_Band3,0.2933,0.6217,7.2284,0.3284,0.4518,0.0098,0.0988,25,16,64.00
A2000064,2000-03-04,MCD43A4,Nadir_Reflectance_Band3,0.2929,0.6217,7.0487,0.3288,0.4405,0.0095,0.0972,25,16,64.00
A2000065,2000-03-05,MCD43A4,Nadir_Reflectance_Band3,0.2925,0.5638,6.4767,0.2713,0.4318,0.0061,0.0783,25,15,60.00
A2000066,2000-03-06,MCD43A4,Nadir_Reflectance_Band3,0.2926,0.6139,5.3413,0.3213,0.4109,0.0061,0.0783,25,13,52.00
A2000067,2000-03-07,MCD43A4,Nadir_Reflectance_Band3,0.2926,0.6139,5.3440,0.3213,0.4111,0.0061,0.0783,25,13,52.00
A2000068,2000-03-08,MCD43A4,Nadir_Reflectance_Band3,0.2926,0.6139,5.3471,0.3213,0.4113,0.0061,0.0782,25,13,52.00
A2000069,2000-03-09,MCD43A4,Nadir_Reflectance_Band3,0.2927,0.6041,4.4947,0.3114,0.4086,0.0064,0.0801,25,11,44.00
