"","Site","lat","lon","date","Year","month","NDVI"
"100","TLG",36.69,102.73,1985-08-21,1985,8,0.7138
"101","TLG",36.69,102.73,1985-09-08,1985,9,0.7848
"102","TLG",36.69,102.73,1985-09-21,1985,9,0.6428
"103","TLG",36.69,102.73,1985-10-08,1985,10,0.5178
"104","TLG",36.69,102.73,1985-10-21,1985,10,0.373
"105","TLG",36.69,102.73,1985-11-08,1985,11,0.4188
"106","TLG",36.69,102.73,1985-11-21,1985,11,0.3348
"107","TLG",36.69,102.73,1985-12-08,1985,12,0.3808
"108","TLG",36.69,102.73,1985-12-21,1985,12,0.3778
"109","TLG",36.69,102.73,1986-01-08,1986,1,0.3488
"110","TLG",36.69,102.73,1986-01-21,1986,1,0.4108
"111","TLG",36.69,102.73,1986-02-08,1986,2,0.3368
"112","TLG",36.69,102.73,1986-02-21,1986,2,0.3018
"113","TLG",36.69,102.73,1986-03-08,1986,3,0.3428
"114","TLG",36.69,102.73,1986-03-21,1986,3,0.3248
"115","TLG",36.69,102.73,1986-04-08,1986,4,0.3678
"116","TLG",36.69,102.73,1986-04-21,1986,4,0.3898
"117","TLG",36.69,102.73,1986-05-08,1986,5,0.305
"118","TLG",36.69,102.73,1986-05-21,1986,5,0.6048
"119","TLG",36.69,102.73,1986-06-08,1986,6,0.6508
"120","TLG",36.69,102.73,1986-06-21,1986,6,0.7978
"121","TLG",36.69,102.73,1986-07-08,1986,7,0.5868
"122","TLG",36.69,102.73,1986-07-21,1986,7,0.7508
"123","TLG",36.69,102.73,1986-08-08,1986,8,0.8218
"124","TLG",36.69,102.73,1986-08-21,1986,8,0.6628
"125","TLG",36.69,102.73,1986-09-08,1986,9,0.5218
"126","TLG",36.69,102.73,1986-09-21,1986,9,0.7028
"127","TLG",36.69,102.73,1986-10-08,1986,10,0.478
"128","TLG",36.69,102.73,1986-10-21,1986,10,0.368
"129","TLG",36.69,102.73,1986-11-08,1986,11,0.4528
"130","TLG",36.69,102.73,1986-11-21,1986,11,0.2748
"131","TLG",36.69,102.73,1986-12-08,1986,12,0.3858
"132","TLG",36.69,102.73,1986-12-21,1986,12,0.3868
"133","TLG",36.69,102.73,1987-01-08,1987,1,0.4108
"134","TLG",36.69,102.73,1987-01-21,1987,1,0.3638
"135","TLG",36.69,102.73,1987-02-08,1987,2,0.3308
"136","TLG",36.69,102.73,1987-02-21,1987,2,0.3218
"137","TLG",36.69,102.73,1987-03-08,1987,3,0.4258
"138","TLG",36.69,102.73,1987-03-21,1987,3,0.2798
"139","TLG",36.69,102.73,1987-04-08,1987,4,0.4248
"140","TLG",36.69,102.73,1987-04-21,1987,4,0.4138
"141","TLG",36.69,102.73,1987-05-08,1987,5,0.337
"142","TLG",36.69,102.73,1987-05-21,1987,5,0.5818
"143","TLG",36.69,102.73,1987-06-08,1987,6,0.7678
"144","TLG",36.69,102.73,1987-06-21,1987,6,0.7928
"145","TLG",36.69,102.73,1987-07-08,1987,7,0.7838
"146","TLG",36.69,102.73,1987-07-21,1987,7,0.8398
"147","TLG",36.69,102.73,1987-08-08,1987,8,0.6308
"148","TLG",36.69,102.73,1987-08-21,1987,8,0.7838
"149","TLG",36.69,102.73,1987-09-08,1987,9,0.5398
"150","TLG",36.69,102.73,1987-09-21,1987,9,0.4578
"151","TLG",36.69,102.73,1987-10-08,1987,10,0.4068
"152","TLG",36.69,102.73,1987-10-21,1987,10,0.353
"153","TLG",36.69,102.73,1987-11-08,1987,11,0.4128
"154","TLG",36.69,102.73,1987-11-21,1987,11,0.4608
"155","TLG",36.69,102.73,1987-12-08,1987,12,0.3778
"156","TLG",36.69,102.73,1987-12-21,1987,12,0.3668
